gene_symbol,entrez_gene,uniprot,ensembl_gene,in_string,network_degree
SUMF2,25870,Q8NBJ7,ENSG00000129103,TRUE,0
SUSD2,56241,Q9UGT4,ENSG00000099994,FALSE,0
TANK,10010,Q92844,ENSG00000136560,TRUE,4
TBC1D17,79735,Q9HA65,ENSG00000104946,TRUE,1
TBC1D23,55773,Q9NUY8,ENSG00000036054,TRUE,0
TBC1D5,9779,Q92609,ENSG00000131374,TRUE,0
TBCB,1155,Q99426,ENSG00000105254,TRUE,0
TBCC,6903,Q15814,ENSG00000124659,TRUE,0
TFRC,7037,P02786,ENSG00000072274,TRUE,1
TGFB1,7040,P01137,ENSG00000105329,TRUE,7
TGFBI,7045,Q15582,ENSG00000120708,TRUE,0
TGM2,7052,P21980,ENSG00000198959,TRUE,0
THBD,7056,P07204,ENSG00000178726,TRUE,1
THBS4,7060,P35443,ENSG00000113296,TRUE,2
THOP1,7064,P52888,ENSG00000172009,TRUE,0
TIA1,7072,P31483,ENSG00000116001,TRUE,1
TIGAR,57103,Q9NQ88,ENSG00000078237,TRUE,2
TJAP1,93643,Q5JTD0,ENSG00000137221,TRUE,0
TNXB,7148,P22105,ENSG00000168477,TRUE,2
TPMT,7172,P51580,ENSG00000137364,TRUE,2
TPP1,1200,O14773,ENSG00000166340,TRUE,0
TPPP3,51673,Q9BW30,ENSG00000159713,FALSE,0
TPT1,7178,P13693,ENSG00000133112,TRUE,2
TRAF2,7186,Q12933,ENSG00000127191,TRUE,8
TRIAP1,51499,O43715,ENSG00000170855,TRUE,0
TRIM21,6737,P19474,ENSG00000132109,TRUE,1
TST,7263,Q16762,ENSG00000128311,TRUE,1
TXLNA,200081,P40222,ENSG00000084652,TRUE,1
TXNDC5,81567,Q8NBS9,ENSG00000239264,TRUE,0
TXNRD1,7296,Q16881,ENSG00000198431,TRUE,5
TYMP,1890,P19971,ENSG00000025708,TRUE,4
UBAC1,10422,Q9BSL1,ENSG00000130560,TRUE,0
USO1,8615,O60763,ENSG00000138768,TRUE,0
USP8,9101,P40818,ENSG00000138592,TRUE,3
VAMP5,10791,O95183,ENSG00000168899,TRUE,0
VASN,114990,Q6EMK4,ENSG00000168140,FALSE,0
VAT1,10493,Q99536,ENSG00000108828,FALSE,0
VCAN,1462,P13611,ENSG00000038427,TRUE,1
VPS37A,137492,Q8NEZ2,ENSG00000155975,TRUE,1
VPS53,55275,Q5VIR6,ENSG00000141252,TRUE,1
VSIR,64115,Q9H7M9,ENSG00000107738,TRUE,0
VTA1,51534,Q9NP79,ENSG00000009844,TRUE,1
